,movie_id,language_name
1092,tt5282308,English
1094,tt4104284,English
1095,tt2169662,French
1096,tt1308751,English
1097,tt0067725,English
1097,tt0067725,Swedish
1097,tt0067725,French
1098,tt2150497,English
1099,tt3476374,English
1101,tt5804484,English
1102,tt6370276,English
1103,tt3344694,English
1104,tt1056466,English
1105,tt2646276,Chinese
1105,tt2646276,Finnish
1106,tt4432728,English
1108,tt0152998,English
1109,tt0832214,English
1110,tt0492327,Bulgarian
1112,tt2758904,English
1112,tt2758904,Spanish
1113,tt4302990,English
1114,tt0012282,English
1115,tt2357211,Panjabi
1116,tt4620462,English
1117,tt0385731,English
1118,tt0025093,English
1119,tt1409748,English
1121,tt5737034,English
1122,tt2124191,Serbian
1123,tt3348360,English
1124,tt3845686,English
1125,tt3962276,English
1126,tt1219328,English
1127,tt3579672,English
1128,tt5457636,English
1129,tt5086646,English
1130,tt0072843,Persian
1131,tt2959094,English
1132,tt2978822,English
1133,tt0096935,English
1134,tt1347321,English
1136,tt4960860,English
1137,tt1422830,English
1138,tt3790906,English
1139,tt3898458,English
1140,tt0308950,English
1141,tt0397235,English
1142,tt0497141,English
1143,tt1391644,English
1144,tt0375057,English
1145,tt0117195,English
1148,tt0429261,English
1149,tt2179698,English
1150,tt4451152,English
1151,tt5669060,English
1154,tt0287738,English
1155,tt1293663,English
1156,tt2508926,English
1157,tt0257871,English
1157,tt0257871,German
1158,tt4157838,English
1160,tt2215743,English
1161,tt3548888,English
1162,tt0449039,English
1163,tt7423630,English
1164,tt1613736,French
1166,tt0470458,English
1167,tt2007507,English
1168,tt0867449,English
1169,tt2262429,English
1170,tt2732092,Swedish
1170,tt2732092,French
1170,tt2732092,Lingala
1170,tt2732092,Kudmali
1171,tt0417422,Filipino
1171,tt0417422,Tagalog
1172,tt3089974,English
1173,tt0149675,Czech
1174,tt3973094,German
1177,tt1450670,English
1178,tt3531278,Portuguese
1179,tt1177164,English
1180,tt4066200,English
1181,tt0063149,Swedish
1182,tt3901530,English
1184,tt0262898,English
1186,tt0206038,English
1187,tt4861962,English
1189,tt0355537,Malayalam
1190,tt1293771,English
1192,tt5158254,English
1193,tt0016123,English
1194,tt1896857,English
1196,tt0163403,English
1197,tt1886571,English
1198,tt3512152,Italian
1199,tt5788660,English
1201,tt2932256,English
1203,tt2229467,English
1204,tt0121301,English
1204,tt0121301,Spanish
1206,tt1943015,English
1207,tt2565724,English
1208,tt2216046,English
1209,tt0092205,English
1210,tt0193464,English
1211,tt5276332,English
1212,tt2396331,Urdu
1213,tt4446220,English
1214,tt0055463,English
1215,tt1413939,English
1216,tt0129612,English
1217,tt4338724,English
1218,tt0376165,English
1219,tt0230474,English
1220,tt3184104,English
1221,tt6848738,English
1222,tt5171722,English
1223,tt2635632,English
1224,tt0301411,English
1225,tt5390540,English
1226,tt0783830,English
1228,tt2191926,English
1229,tt1169139,English
1232,tt0075098,English
1233,tt5724078,English
1234,tt4462630,English
1235,tt0152748,English
1236,tt0047789,German
1237,tt4508776,English
1238,tt0442325,Danish
1239,tt0039922,Swedish
1240,tt0035183,English
1241,tt1080695,Danish
1242,tt0053251,German
1243,tt1964705,English
1244,tt0204252,Arabic
1245,tt0098441,English
1246,tt2576896,English
1247,tt0206678,Spanish
1249,tt1580296,English
1250,tt1175495,English
1251,tt2396350,English
1252,tt3855864,English
1254,tt0496930,English
1255,tt1316073,English
1256,tt2262652,German
1257,tt5949994,Japanese
1259,tt2218120,English
1260,tt3294666,English
1261,tt0000910,English
1262,tt0055232,English
1263,tt2300674,English
1265,tt2174015,Hebrew
1266,tt2006194,English
1267,tt2093213,English
1269,tt1359013,English
1270,tt4299026,English
1271,tt7230850,English
1272,tt0275733,English
1274,tt1754331,French
1275,tt1528765,Finnish
1276,tt1326249,English
1276,tt1326249,Spanish
1277,tt1393737,English
1278,tt0097126,German
1279,tt6711124,English
1280,tt2158433,English
1281,tt1366733,Spanish
1282,tt2475428,English
1283,tt0405075,English
1284,tt1582581,Finnish
1288,tt4419834,Norwegian
1289,tt0161305,English
1290,tt2039395,English
1291,tt5946726,English
1292,tt0310600,Arabic
1295,tt0021607,English
1296,tt0476743,English
1296,tt0476743,Filipino
1296,tt0476743,Tagalog
1297,tt0306117,English
1298,tt4143998,English
1299,tt5293310,English
1299,tt5293310,German
1299,tt5293310,Croatian
1300,tt3185178,English
1301,tt0156706,English
1301,tt0156706,Italian
1302,tt1177927,English
1303,tt1243959,Dari
1304,tt4803620,English
1305,tt0160026,English
1306,tt2149730,French
1308,tt3024798,English
1309,tt0264150,English
1310,tt1102271,English
1311,tt0073175,English
1312,tt4500470,Italian
1313,tt1418179,English
1314,tt2372213,Spanish
1315,tt3433160,English
1318,tt0493172,English
1319,tt0494071,English
1320,tt0259311,German
1321,tt1831791,English
1322,tt1836187,Spanish
1323,tt0171806,Slovak
1323,tt0171806,Czech
1325,tt0471668,Spanish
1325,tt0471668,Italian
1325,tt0471668,English
1327,tt1827488,English
1328,tt1541650,English
1329,tt0108610,Cantonese
1330,tt1547653,English
1331,tt0070882,English
1333,tt2723180,English
1333,tt2723180,Polish
1334,tt2993810,English
1335,tt4901148,English
1336,tt1496682,English
1337,tt0151487,Spanish
1338,tt1975146,English
1339,tt1478413,English
1340,tt1100119,English
1341,tt6898520,English
1343,tt0017292,French
1344,tt2474378,Japanese
1345,tt0451346,English
1347,tt6489820,English
1348,tt0395247,English
1349,tt2735168,English
1350,tt2393192,English
1351,tt1577103,English
1352,tt0450110,English
1353,tt1178566,English
1354,tt3012602,English
1356,tt0050732,English
1356,tt0050732,Spanish
1357,tt3341758,English
1358,tt0025071,English
1359,tt1845848,English
1360,tt1827345,English
1361,tt1855256,English
1362,tt0864711,English
1363,tt0415706,English
1364,tt1634072,English
1365,tt3522010,English
1366,tt0435135,English
1367,tt1095496,English
1368,tt0162909,Hebrew
1368,tt0162909,Russian
